Red_Mean,Green_Mean,Blue_Mean,Yaw_Change(Mean),Roll_Change(Mean),Pitch_Change(Mean),Yaw_Change(Std),Roll_Change(Std),Pitch_Change(Std),Heart_Rate,Heart_Rate_Variability,Blinking_Rate(per Min),Head_Move(Mean),Head_Move_X(Std),Head_Move_Y(Std),Head_Move(Std),Stress
137.9812637,106.7912312,79.27896826,0.093761839,0.075767331,0.123297401,0.088490665,0.074177906,0.11948853,79.69896907,85.53074619,20,0.482984335,0.471594268,0.447666049,0.447666049,0
137.6301419,106.0881936,79.29830048,0.100525759,0.073947862,0.12759003,0.100237787,0.074661806,0.119951591,79.87956132,57.48914563,16,0.550184853,0.564948888,0.480030898,0.480030898,0
138.2281609,106.5884854,79.66346029,0.112179637,0.078487977,0.157454178,0.124257624,0.072165266,0.155612707,76.66909091,107.559611,18,0.520553997,0.551588457,0.4845588,0.4845588,0
137.328074,106.2027153,79.05602939,0.106572516,0.080763176,0.13597773,0.107535765,0.088278554,0.133814231,80.43606936,59.08187241,8,0.436332892,0.441347827,0.440411694,0.440411694,0
136.9817104,105.7951004,78.7432866,0.095509626,0.0680466,0.120506153,0.091989681,0.066605411,0.114864178,78.37918216,80.49024259,22,0.416076992,0.434286448,0.422132907,0.422132907,0
139.1396626,107.3782335,79.93461754,0.125948742,0.081869513,0.165767744,0.116467699,0.087173589,0.175337866,81.93264249,80.11673597,64,0.539074626,0.51399075,0.519131413,0.519131413,0
170.2609417,130.5161409,111.3852205,0.112151898,0.05934694,0.118771173,0.211503774,0.087392159,0.143985912,90.57062937,65.27843507,8,0.676855124,1.253945019,0.55802077,0.55802077,0
171.7110471,130.6893064,113.1361435,0.112821542,0.087343998,0.145417884,0.240885735,0.200406373,0.264558166,89.20990712,43.85610418,52,1.052998943,2.277160813,1.363075185,1.363075185,0
175.7231696,134.7951415,116.3681309,0.123672485,0.07130266,0.140555114,0.252724439,0.143783897,0.209223568,87.75377875,54.90341919,18,0.824519888,1.519128217,0.696126421,0.696126421,0
178.0249654,137.2527511,118.6634288,0.035667479,0.027254868,0.076547988,0.032021683,0.026401913,0.068461508,96.0546697,41.84488458,2,0.244428289,0.339388017,0.32553757,0.32553757,0
